Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases,id,entity_id
2000,,128,0,14.682077,4828811,17736.984,42523.562,,,272,5
1984,,0,0,,,,,,,273,10
2001,,2,0,14.48669,5013270.5,18791.828,44091.53,,,274,5
2004,,0,0,0.0050608492,0,85.58993,23.260622,,,275,15
1985,,0,0,,,,,,,276,10
2002,,0,0,14.274555,5212388.5,19714.244,45769.617,,,277,5
2005,,0,0,0.005320478,0,74.72339,23.29512,,,278,15
2003,,0,0,14.057841,5418972,20583.143,47526.805,,,279,5
2006,,0,0,0.0057264194,0,66.83081,23.43769,,,280,15
2007,,0,0,0.0063111424,0,62.27884,23.631414,,,281,15
2004,,0,0,13.846846,5623625.5,21474.666,49314.883,,,282,5
2008,,0,0,0.0069631995,0,59.63304,23.84071,,,283,15
2010,,0,0,0.00796433,0,62.623695,24.165464,,,284,15
2005,,11,0,13.6558,5815446,22352.492,51101.008,,0,285,5
2006,,2,0,13.443765,5747149,23393.164,52816.234,,67257,286,5
1991,,0,0,17.341595,0,231.02837,5559.856,,,287,16
2007,,9,0,13.163569,5302657,24697.863,54433.145,,18422,288,5
1992,,7,0,18.169592,0,209.84709,5614.819,,,289,16
2008,,32,0,12.828784,4692401.5,26164.584,55948.562,,10511,290,5
1993,,7,0,18.837755,0,212.99562,5657.9,,,291,16
2006,,0,0,0.011053416,0,2.705119,140.29532,,,292,2
2009,,32,0,12.453303,4166695.8,27782.988,57351.56,,2019,293,5
2007,,0,0,0.0106599545,0,2.559985,135.0837,,,294,2
2010,,37,0,12.063908,4021064.8,29676.906,58637.992,,1484,295,5
2008,,0,0,0.010366663,0,2.4835765,129.90475,,,296,2
1994,,14,0,19.221846,0,215.19698,5685.8037,,3,297,16
2009,,0,0,0.0102469465,0,2.385676,125.13413,,,298,2
1995,,0,0,19.401659,0,230.5945,5696.899,,3,299,16
2011,,6,0,11.604606,4194396,31732.162,59478.727,,1810,300,5
2010,,0,0,0.0103962235,0,2.3353004,121.22562,,,301,2
2012,,0,0,11.039229,4403571.5,33387.836,59712.68,,1215,302,5
1996,,0,0,19.429785,0,261.8729,5703.508,,,303,16
2013,,0,0,10.417461,4646445.5,34408.105,59642.93,,6655,304,5
1997,,0,0,19.212147,0,304.66144,5707.8975,,,305,16
2014,,0,0,9.800037,4920422,35154.387,59630.53,,213,306,5
1998,,0,0,18.898495,0,368.11362,5707.5923,,,307,16
2011,,0,0,0.01075592,0,2.4660115,117.806366,,,308,2
1999,,0,0,18.532574,0,438.31775,5697.0205,,,309,16
2012,,0,0,0.01119073,0,2.3746042,114.17741,,,310,2
2015,,0,0,9.250467,5221958,36338.656,60086.812,,,311,5
2000,,0,0,18.326517,0,518.41815,5672.1216,,,312,16
2013,,0,0,0.011662849,0,2.2445052,110.22334,,,313,2
2016,,0,0,8.74512,5841198,38198.617,60953.48,,78,314,5
2014,,0,0,0.012138092,0,2.4224427,106.195076,,,315,2
2015,,0,0,0.012588923,0,2.6274543,102.467834,,,316,2
2017,,0,0,8.358166,6407805.5,40191.227,61982.406,,828,317,5
2001,,0,0,18.36031,0,587.90625,5622.7124,,,318,16
2018,,0,1,8.120007,6540698,42326.47,62715.062,,1546,319,5
1986,,0,0,,,,,,,320,10
2002,,0,0,18.5995,0,649.3107,5543.7534,,,321,16
2016,,0,0,0.013460109,0,2.661325,97.58413,,,322,2
2019,,153,1,7.964379,6475958,43510.58,62933.6,,,323,5
2003,,0,0,19.029427,0,692.7518,5455.638,,,324,16
1987,,0,0,,,,,,,325,10
2004,,0,0,19.691963,0,721.7441,5371.1455,,,326,16
1988,,0,0,,,,,,,327,10
2017,,0,0,0.014326912,0,2.6962876,94.34844,,,328,2
2005,,0,0,20.26118,0,714.4496,5295.096,,,329,16
1989,,0,0,,,,,,,330,10
2018,,0,0,0.0145095,0,2.728043,94.39895,,,331,2
2020,,6,1,,,,,,,332,5
1990,,0,0,0.007856384,0,639.50415,1133.4965,,2,333,10
2019,,0,0,0.014224869,0,2.6898444,95.83574,,,334,2
1980,,0,0,,,,,,,335,6
2006,,0,0,20.782568,0,674.9848,5228.134,,,336,16
2020,,0,0,,,,,,,337,2
1981,,0,0,,,,,,,338,6
2007,,0,0,21.095892,0,659.5507,5152.5186,,,339,16
1991,,0,0,0.007123984,0,634.411,1100.5679,,,340,10
1980,,812,0,,,,,,614,341,3
1982,,0,0,,,,,,,342,6
2008,,0,0,21.375154,0,665.6059,5060.0093,,,343,16
1992,,0,0,0.006466202,0,582.9502,1066.943,,,344,10
1981,,798,0,,,,,,,345,3
1983,,0,0,,,,,,,346,6
2009,,0,0,21.462952,0,715.26886,4933.2944,,,347,16
1993,,0,0,0.005877945,0,506.71774,1034.3431,,1,348,10
2010,,0,0,21.366903,0,810.5629,4759.3535,,,349,16
1994,,0,0,0.00541193,0,393.3486,1004.01465,,1,350,10
1982,,497,0,,,,,,,351,3
2011,,0,0,20.822056,0,920.36633,4477.5825,,,352,16
1984,,0,0,,,,,,,353,6
1995,,0,0,0.005121655,0,355.7155,976.9969,,,354,10
1983,,924,0,,,,,,218,355,3
1985,,0,0,,,,,,,356,6
1984,,756,0,,,,,,45,357,3
1986,,0,0,,,,,,,358,6
1985,,462,0,,,,,,,359,3
2012,,0,0,19.854893,0,1068.4408,4088.549,,,360,16
1996,,0,0,0.005048178,0,343.77332,949.2798,,1,361,10
1987,,0,0,,,,,,,362,6
1997,,0,0,0.0052234707,0,400.15958,918.451,,,363,10
1988,,0,0,,,,,,,364,6
2013,,0,0,18.810736,0,1255.2542,3679.971,,,365,16
1986,,203,0,,,,,,,366,3
2014,,0,0,17.951342,0,1439.0386,3326.3794,,,367,16
1987,,245,0,,,,,,1507,368,3
1998,,0,0,0.0055390135,0,423.6453,886.5247,,1,369,10
2015,,0,0,17.473274,0,1645.9948,3108.5933,,,370,16
1988,,63,0,,,,,,699,371,3
1989,,0,0,,,,,,,372,6
1999,,0,0,0.0058989534,0,479.4192,856.34717,,1,373,10
2016,,0,0,17.452972,0,1880.5791,3011.7744,,,374,16
1990,,0,0,0.0015899013,0,15.696256,20.818546,,,375,6
2000,,0,0,0.0061748195,0,577.03345,831.2583,,,376,10
1989,,126,0,,,,,,393,377,3
1991,,0,0,0.0014326775,0,15.923891,20.712685,,,378,6
2017,,0,0,17.40918,0,1921.08,2925.9548,,,379,16
1990,,14,0,1.7746575,2428.5056,124.47287,10231.118,,1299,380,3
1992,,0,0,0.0012914663,0,15.950966,20.687006,,,381,6
2001,,0,0,0.0064385533,0,678.1848,805.5253,,0,382,10
2018,,0,0,17.444801,0,2025.0381,2812.5198,,,383,16
1993,,0,0,0.0011784371,0,16.243483,20.727335,,,384,6
2002,,0,0,0.0068854713,0,687.5939,774.4428,,1,385,10
1994,,0,0,0.0011075264,0,16.304415,20.824245,,,386,6
1991,,0,0,1.7726839,2030.1178,135.8765,9977.904,,,387,3
2003,,0,0,0.0073836367,0,699.3541,742.6282,,,388,10
2019,,0,0,17.357056,0,1987.6143,2676.3665,,,389,16
1992,,7,0,1.7645701,1641.9749,158.94077,9721.126,,69,390,3
2020,,0,0,,,,,,,391,16
2004,,0,0,0.00780996,0,680.22534,715.24084,,,392,10
1980,,7,0,,,,,,1,393,17
1995,,0,0,0.0010932273,0,16.222788,20.973719,,,394,6
2005,,0,0,0.008073101,0,593.8486,696.8655,,1,395,10
2006,,0,0,0.007989534,0,617.74524,683.8261,,,396,10
1996,,0,0,0.0011124441,0,15.953433,21.114431,,,397,6
1981,,0,0,,,,,,,398,17
1997,,0,0,0.0011338973,0,16.591475,21.214771,,,399,6
1982,,0,0,,,,,,,400,17
1998,,0,0,0.0011632809,0,17.168034,21.327318,,,401,6
2007,,0,0,0.0077709765,0,571.6656,670.5201,,,402,10
1983,,7,0,,,,,,1,403,17
1999,,0,0,0.0012090291,0,16.322075,21.515339,,,404,6
2008,,0,0,0.007555033,0,574.5099,657.0637,,,405,10
2009,,0,0,0.007470162,0,631.39575,643.3374,,,406,10
2010,45,0,0,46.3769,3672151.2,5233.893,12574.599,,983,407,19
1984,,0,0,,,,,,1,408,17
2000,,0,0,0.0012793491,0,14.970841,21.837103,,,409,6
1985,,0,0,,,,,,1,410,17
2012,11,0,0,49.601185,4033745,5091.9155,13094.752,,625,411,19
2010,,0,0,0.00777438,0,643.761,629.49524,,,412,10
2001,,0,0,0.0013909283,0,13.832178,22.383984,,,413,6
1986,,0,0,,,,,,,414,17
2011,,0,0,0.008050023,0,700.55994,612.73004,,,415,10
2002,,0,0,0.0015385192,0,12.421225,23.101402,,,416,6
1980,,1085,0,,,,,,3,417,19
1987,,0,0,,,,,,,418,17
2003,,0,0,0.0017025145,0,11.070621,23.848896,,,419,6
1981,,1505,0,,,,,,2,420,19
1988,,0,0,,,,,,,421,17
2012,,0,0,0.008516049,0,747.05133,592.64575,,,422,10
2004,,0,0,0.0018630532,0,10.333011,24.472168,,,423,6
1989,,14,0,,,,,,,424,17
1982,,966,0,,,,,,3,425,19
2013,,0,0,0.008983271,0,661.09265,572.397,,,426,10
1990,,0,0,0.013685222,0,822.1403,1266.579,,,427,17
1983,,413,0,,,,,,1,428,19
2014,,0,0,0.009481388,0,632.59296,555.5873,,,429,10
2005,,0,0,0.0020007084,0,10.164899,24.80878,,,430,6
1984,,364,0,,,,,,1,431,19
2015,,0,0,0.009986834,0,585.41235,545.7482,,,432,10
2006,,0,0,0.0021605596,0,10.608372,24.807974,,,433,6
1985,,623,0,,,,,,,434,19
2016,,0,0,0.00891423,0,662.14484,539.00397,,,435,10
1986,,665,0,,,,,,243,436,19
1987,,518,400,,,,,,,437,19
2007,,0,0,0.0023902059,0,11.35329,24.571507,,,438,6
1988,,217,13892,,,,,,,439,19
2008,,0,0,0.0026680196,0,14.239348,24.17902,,,440,6
2017,,0,0,0.007568444,0,665.4822,533.23883,,,441,10
1989,,385,7172,,,,,,,442,19
2010,,0,0,0.0032946493,0,18.951378,23.278795,,,443,6
2018,,0,0,0.0074531473,0,666.5336,531.33276,,,444,10
1990,,567,37414,37.086082,2157492.5,1916.0867,9446.857,,,445,19
2019,,0,0,0.007492548,0,671.0829,532.34015,,,446,10
1991,,126,4006,37.6878,2225971,3785.2214,9490.304,,7474,447,19
1980,,224,0,,,,,,,448,7
2020,,0,0,,,,,,,449,10
1992,,623,4315,38.224003,2293668.5,6124.4043,9537.654,,413,450,19
1981,,14,0,,,,,,,451,7
1991,,147,0,13.249931,4802.8945,51.790146,5120.582,,,452,11
1993,,119,16334,38.80163,2360386.8,8215.1045,9600.913,,10,453,19
1982,,84,0,,,,,,,454,7
1994,,399,4302,39.310184,2426459.5,9423.16,9682.82,,187,455,19
1995,,49,2273,39.757984,2492644,9658.938,9787.834,,203,456,19
1992,,154,0,14.004584,8835.644,54.895817,5485.174,,,457,11
1996,,7,1427,40.17089,2551024.2,9270.626,9925.693,,6190,458,19
1997,,3,855,40.350967,2599431.5,8655.128,10077.255,,796,459,19
